date,name,year,month,day
2023-01-01,International New Year's Day,2023,1,1
2023-01-02,Day off for International New Year's Day,2023,1,2
2023-01-20,Tet Holiday,2023,1,20
2023-01-21,Vietnamese New Year's Eve,2023,1,21
2023-01-22,Vietnamese New Year,2023,1,22
2023-01-23,Tet Holiday,2023,1,23
2023-01-24,Tet Holiday,2023,1,24
2023-01-25,Tet Holiday,2023,1,25
2023-01-26,Tet Holiday,2023,1,26
2023-04-29,Hung Kings Festival,2023,4,29
2023-04-30,Liberation Day/Reunification Day,2023,4,30
2023-05-01,International Labor Day,2023,5,1
2023-05-02,Day off for Hung Kings Festival,2023,5,2
2023-05-03,Day off for Liberation Day/Reunification Day,2023,5,3
2023-09-01,Independence Day Holiday,2023,9,1
2023-09-02,Independence Day,2023,9,2
2023-09-03,Independence Day Holiday,2023,9,3
2023-09-04,Independence Day observed,2023,9,4
2024-01-01,International New Year's Day,2024,1,1
2024-02-08,Tet Holiday,2024,2,8
2024-02-09,Vietnamese New Year's Eve,2024,2,9
2024-02-10,Vietnamese New Year,2024,2,10
2024-02-11,Tet Holiday,2024,2,11
2024-02-12,Tet Holiday,2024,2,12
2024-02-13,Tet Holiday,2024,2,13
2024-02-14,Tet Holiday,2024,2,14
2024-04-18,Hung Kings Festival,2024,4,18
2024-04-30,Liberation Day/Reunification Day,2024,4,30
2024-05-01,International Labor Day,2024,5,1
2024-09-02,Independence Day,2024,9,2
2024-09-03,Independence Day Holiday,2024,9,3
2024-12-31,International New Year's Eve,2024,12,31
2025-01-01,International New Year's Day,2025,1,1
2025-01-25,Tet Holiday,2025,1,25
2025-01-26,Tet Holiday,2025,1,26
2025-01-27,Tet Holiday,2025,1,27
2025-01-28,Vietnamese New Year's Eve,2025,1,28
2025-01-29,Vietnamese New Year,2025,1,29
2025-01-30,Tet Holiday,2025,1,30
2025-01-31,Tet Holiday,2025,1,31
2025-02-01,Tet Holiday,2025,2,1
2025-02-02,Tet Holiday,2025,2,2
2025-04-07,Hung Kings Festival,2025,4,7
2025-04-26,Working Day for May 2,2025,4,26
2025-04-30,Liberation Day/Reunification Day,2025,4,30
2025-05-01,International Labor Day,2025,5,1
2025-05-02,International Labor Day Holiday,2025,5,2
2025-09-01,Independence Day Holiday,2025,9,1
2025-09-02,Independence Day,2025,9,2
2025-12-31,International New Year's Eve,2025,12,31
2026-01-01,International New Year's Day,2026,1,1
2026-02-16,Vietnamese New Year's Eve,2026,2,16
2026-02-17,Vietnamese New Year,2026,2,17
2026-02-18,Tet Holiday,2026,2,18
2026-02-19,Tet Holiday,2026,2,19
2026-02-20,Tet Holiday,2026,2,20
2026-02-21,Tet Holiday,2026,2,21
2026-04-26,Hung Kings Festival,2026,4,26
2026-04-30,Liberation Day/Reunification Day,2026,4,30
2026-05-01,International Labor Day,2026,5,1
2026-09-02,Independence Day,2026,9,2
2026-12-31,International New Year's Eve,2026,12,31
2027-01-01,International New Year's Day,2027,1,1
2027-02-05,Vietnamese New Year's Eve,2027,2,5
2027-02-06,Vietnamese New Year,2027,2,6
2027-02-07,Tet Holiday,2027,2,7
2027-02-08,Tet Holiday,2027,2,8
2027-02-09,Tet Holiday,2027,2,9
2027-02-10,Tet Holiday,2027,2,10
2027-04-16,Hung Kings Festival,2027,4,16
2027-04-30,Liberation Day/Reunification Day,2027,4,30
2027-05-01,International Labor Day,2027,5,1
2027-05-03,Day off for International Labor Day,2027,5,3
2027-09-02,Independence Day,2027,9,2
2027-12-31,International New Year's Eve,2027,12,31
2028-01-01,International New Year's Day,2028,1,1
2028-01-03,Day off for International New Year's Day,2028,1,3
2028-01-25,Vietnamese New Year's Eve,2028,1,25
2028-01-26,Vietnamese New Year,2028,1,26
2028-01-27,Tet Holiday,2028,1,27
2028-01-28,Tet Holiday,2028,1,28
2028-01-29,Tet Holiday,2028,1,29
2028-01-30,Tet Holiday,2028,1,30
2028-04-04,Hung Kings Festival,2028,4,4
2028-04-30,Liberation Day/Reunification Day,2028,4,30
2028-05-01,Day off for Liberation Day/Reunification Day,2028,5,1
2028-05-01,International Labor Day,2028,5,1
2028-05-02,Day off for International Labor Day,2028,5,2
2028-09-02,Independence Day,2028,9,2
2028-09-04,Independence Day observed,2028,9,4
2028-12-31,International New Year's Eve,2028,12,31
2029-01-01,International New Year's Day,2029,1,1
2029-02-12,Vietnamese New Year's Eve,2029,2,12
2029-02-13,Vietnamese New Year,2029,2,13
2029-02-14,Tet Holiday,2029,2,14
2029-02-15,Tet Holiday,2029,2,15
2029-02-16,Tet Holiday,2029,2,16
2029-02-17,Tet Holiday,2029,2,17
2029-04-23,Hung Kings Festival,2029,4,23
2029-04-30,Liberation Day/Reunification Day,2029,4,30
2029-05-01,International Labor Day,2029,5,1
2029-09-02,Independence Day,2029,9,2
2029-09-03,Independence Day observed,2029,9,3
2029-12-31,International New Year's Eve,2029,12,31
2030-01-01,International New Year's Day,2030,1,1
2030-02-02,Vietnamese New Year's Eve,2030,2,2
2030-02-03,Vietnamese New Year,2030,2,3
2030-02-04,Tet Holiday,2030,2,4
2030-02-05,Tet Holiday,2030,2,5
2030-02-06,Tet Holiday,2030,2,6
2030-02-07,Tet Holiday,2030,2,7
2030-04-12,Hung Kings Festival,2030,4,12
2030-04-30,Liberation Day/Reunification Day,2030,4,30
2030-05-01,International Labor Day,2030,5,1
2030-09-02,Independence Day,2030,9,2
2030-12-31,International New Year's Eve,2030,12,31
2031-01-01,International New Year's Day,2031,1,1
2031-01-22,Vietnamese New Year's Eve,2031,1,22
2031-01-23,Vietnamese New Year,2031,1,23
2031-01-24,Tet Holiday,2031,1,24
2031-01-25,Tet Holiday,2031,1,25
2031-01-26,Tet Holiday,2031,1,26
2031-01-27,Tet Holiday,2031,1,27
2031-04-01,Hung Kings Festival,2031,4,1
2031-04-30,Liberation Day/Reunification Day,2031,4,30
2031-05-01,International Labor Day,2031,5,1
2031-09-02,Independence Day,2031,9,2
2031-12-31,International New Year's Eve,2031,12,31
2032-01-01,International New Year's Day,2032,1,1
2032-02-10,Vietnamese New Year's Eve,2032,2,10
2032-02-11,Vietnamese New Year,2032,2,11
2032-02-12,Tet Holiday,2032,2,12
2032-02-13,Tet Holiday,2032,2,13
2032-02-14,Tet Holiday,2032,2,14
2032-02-15,Tet Holiday,2032,2,15
2032-04-19,Hung Kings Festival,2032,4,19
2032-04-30,Liberation Day/Reunification Day,2032,4,30
2032-05-01,International Labor Day,2032,5,1
2032-05-03,Day off for International Labor Day,2032,5,3
2032-09-02,Independence Day,2032,9,2
2032-12-31,International New Year's Eve,2032,12,31
2033-01-01,International New Year's Day,2033,1,1
2033-01-03,Day off for International New Year's Day,2033,1,3
2033-01-30,Vietnamese New Year's Eve,2033,1,30
2033-01-31,Vietnamese New Year,2033,1,31
2033-02-01,Tet Holiday,2033,2,1
2033-02-02,Tet Holiday,2033,2,2
2033-02-03,Tet Holiday,2033,2,3
2033-02-04,Tet Holiday,2033,2,4
2033-04-09,Hung Kings Festival,2033,4,9
2033-04-30,Liberation Day/Reunification Day,2033,4,30
2033-05-01,International Labor Day,2033,5,1
2033-05-02,Day off for Liberation Day/Reunification Day,2033,5,2
2033-05-03,Day off for International Labor Day,2033,5,3
2033-09-02,Independence Day,2033,9,2
2033-12-31,International New Year's Eve,2033,12,31
